system:index,Avg_Rainfall_mm,State,Year,.geo
000000000000000001da_1,985.1696515215674,Delhi,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001da_2,725.0960218451613,Delhi,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001da_3,766.5650085549755,Delhi,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001da_4,977.2034935429982,Delhi,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001db_0,3549.455858764867,Goa,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001db_1,3017.589718275881,Goa,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001db_2,3273.35129657834,Goa,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001db_3,2435.324359719026,Goa,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001db_4,4229.892084886578,Goa,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dc_0,1111.038708666589,Gujarat,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dc_1,829.1521385607577,Gujarat,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dc_2,983.9426999326304,Gujarat,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dc_3,798.4584277461817,Gujarat,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dc_4,1029.7326009745827,Gujarat,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dd_0,691.089273445152,Haryana,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dd_1,848.2017791052975,Haryana,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dd_2,725.2395375114487,Haryana,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dd_3,786.8163236425123,Haryana,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dd_4,816.2657909805403,Haryana,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001de_0,1038.2664706479372,Himachal Pradesh,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001de_1,1020.5523270071462,Himachal Pradesh,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001de_2,1008.3866513989673,Himachal Pradesh,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001de_3,1318.1140138684834,Himachal Pradesh,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001de_4,1012.5686023636797,Himachal Pradesh,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001df_0,1388.5304956508915,Karnataka,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001df_1,1362.3240310847618,Karnataka,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001df_2,1403.4982736897418,Karnataka,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001df_3,857.5364765344247,Karnataka,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001df_4,1387.252954876622,Karnataka,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e0_0,2953.2772281570706,Kerala,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e0_1,3240.325394058181,Kerala,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e0_2,3270.393043318942,Kerala,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e0_3,2486.0553616768348,Kerala,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e0_4,3084.527142790614,Kerala,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e1_0,2758.283572502751,Lakshadweep,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e1_1,2360.695481148785,Lakshadweep,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e1_2,2480.4683905604165,Lakshadweep,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e1_3,2110.941618453433,Lakshadweep,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e1_4,2903.223971110094,Lakshadweep,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e2_0,1437.4877644983856,Maharashtra,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e2_1,1230.919722329689,Maharashtra,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e2_2,1417.5850764810134,Maharashtra,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e2_3,1064.0591275818406,Maharashtra,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e2_4,1280.3494445030801,Maharashtra,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e3_0,1639.7333836225619,Manipur,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e3_1,1310.9533246328458,Manipur,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e3_2,1585.0721487042074,Manipur,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e3_3,1504.1091095366942,Manipur,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
